               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.053751,            0.047461,            0.028371,             0.35248,             0.32669,             0.29076,             0.13487,            0.056249,            0.028774,            0.026926,            0.006436,            0.006436,            0.006436
                  38,            0.053763,            0.047883,            0.028342,             0.39804,             0.31611,             0.29843,             0.13724,            0.056158,             0.02876,            0.027212,            0.006337,            0.006337,            0.006337
                  39,            0.053533,            0.047702,            0.028022,             0.36791,             0.31067,             0.26496,             0.11768,             0.05739,            0.030216,            0.027812,            0.006238,            0.006238,            0.006238
                  40,            0.053324,            0.047029,            0.028273,             0.37548,             0.34062,             0.31399,             0.13784,            0.057013,            0.028928,              0.0267,            0.006139,            0.006139,            0.006139
                  41,             0.05324,            0.047231,             0.02753,             0.35386,             0.34842,              0.3042,             0.13776,            0.056293,            0.028495,             0.02643,             0.00604,             0.00604,             0.00604
                  42,            0.053099,            0.048201,            0.027711,             0.32338,             0.33822,             0.29612,             0.13589,            0.057042,            0.029041,             0.02687,            0.005941,            0.005941,            0.005941
                  43,            0.053107,            0.047935,            0.027834,             0.38732,             0.32291,             0.30488,             0.13464,            0.056028,            0.028784,            0.026624,            0.005842,            0.005842,            0.005842
                  44,            0.053059,             0.04771,            0.027665,              0.4034,             0.33256,             0.31082,             0.14157,            0.055515,            0.028522,            0.026346,            0.005743,            0.005743,            0.005743
                  45,            0.052903,            0.047455,            0.027505,             0.39411,             0.34751,             0.30756,             0.14219,            0.055618,            0.029208,            0.026843,            0.005644,            0.005644,            0.005644
                  46,            0.052676,            0.047256,            0.027492,             0.37807,             0.36153,             0.31046,              0.1447,            0.055636,             0.02895,            0.026691,            0.005545,            0.005545,            0.005545
                  47,            0.052635,            0.047922,            0.027719,             0.38473,             0.33161,             0.31374,             0.14769,            0.055348,            0.028746,            0.026706,            0.005446,            0.005446,            0.005446
                  48,            0.052034,            0.047189,            0.027547,             0.39391,             0.33947,             0.31804,             0.14174,            0.056528,            0.028945,              0.0262,            0.005347,            0.005347,            0.005347
                  49,            0.052359,            0.046844,            0.027359,             0.38762,             0.34461,             0.29769,             0.13774,            0.056156,            0.029061,            0.026589,            0.005248,            0.005248,            0.005248
                  50,            0.051828,            0.046602,            0.026906,             0.35832,             0.36229,              0.3213,             0.15025,            0.055196,            0.028609,            0.026204,            0.005149,            0.005149,            0.005149
                  51,            0.051944,            0.046552,            0.026695,             0.37786,             0.37208,             0.32757,             0.15301,            0.055383,            0.028262,            0.026213,             0.00505,             0.00505,             0.00505
